$R$;	$\alpha_{\text{DoubleRLPN-BJMM12}}$; $\beta_{\text{DoubleRLPN-BJMM12}}$;	$\sigma$;	$R_{\text{aux}}$;	$\nu$;	$\omega$;	$\ell_1$;	$\ell_2$;	$\pi_1$;	$\pi_2$;	$\tau$
0.5300000000;	0.0968966770;	0.0867331954;	0.3755881875;	0.0867318333;	0.0792505161;	0.0469501978;	0.0291170642;	0.0676797741;	0.0131064243;	0.0256606274;	0.1003171090
0.5400000000;	0.0966828544;	0.0862465850;	0.3869718325;	0.0862449942;	0.0762882220;	0.0468214827;	0.0289583466;	0.0667826988;	0.0130304273;	0.0255084503;	0.0971824485
0.5500000000;	0.0964054199;	0.0856571209;	0.3988590241;	0.0856560949;	0.0733958498;	0.0465483016;	0.0286928796;	0.0654849668;	0.0129024680;	0.0252528802;	0.0940972433
0.5600000000;	0.0960640053;	0.0845922913;	0.4089250054;	0.0845922913;	0.0710272471;	0.0465345081;	0.0289176230;	0.0664853369;	0.0129749319;	0.0253784369;	0.0910605732
0.5700000000;	0.0956534741;	0.0836601542;	0.4230497805;	0.0836591394;	0.0682554664;	0.0456443884;	0.0280804500;	0.0632910994;	0.0126045908;	0.0246571266;	0.0880715695
0.5800000000;	0.0951700343;	0.0833637874;	0.4309973076;	0.0833624115;	0.0655496481;	0.0463850498;	0.0288365522;	0.0656393759;	0.0129091080;	0.0252319560;	0.0851294132
0.5900000000;	0.0946287791;	0.0816977379;	0.4453250064;	0.0816971669;	0.0633196659;	0.0452053081;	0.0279478688;	0.0629779458;	0.0125161531;	0.0244667981;	0.0822333324
0.6000000000;	0.0940103947;	0.0818912779;	0.4534807911;	0.0818891371;	0.0603307764;	0.0460820649;	0.0286651364;	0.0646290907;	0.0128036357;	0.0250077572;	0.0793826005
0.6100000000;	0.0933260290;	0.0803583620;	0.4658929081;	0.0803570492;	0.0581981661;	0.0453962230;	0.0282869764;	0.0637497563;	0.0126233975;	0.0246489980;	0.0765765344
0.6200000000;	0.0925934401;	0.0808481970;	0.4699604544;	0.0808456773;	0.0553608697;	0.0473776852;	0.0301246139;	0.0691925465;	0.0133810819;	0.0260885877;	0.0738144930
0.6300000000;	0.0917515176;	0.0788119890;	0.4863994096;	0.0788098650;	0.0533219066;	0.0455727090;	0.0286723031;	0.0647898213;	0.0127480875;	0.0248627174;	0.0710958755
0.6400000000;	0.0908655252;	0.0767742413;	0.5025396286;	0.0767713003;	0.0513150907;	0.0438306825;	0.0272814767;	0.0606873681;	0.0121480429;	0.0237037066;	0.0684201209
0.6500000000;	0.0899000871;	0.0761377847;	0.5103918111;	0.0761355360;	0.0490110962;	0.0445595467;	0.0281453846;	0.0634714759;	0.0124869505;	0.0243362476;	0.0657867064
0.6600000000;	0.0888662968;	0.0756890706;	0.5210766213;	0.0756877183;	0.0464484328;	0.0446866466;	0.0282434905;	0.0632350759;	0.0125078667;	0.0243622324;	0.0631951467
0.6700000000;	0.0877666657;	0.0730317535;	0.5369912022;	0.0730285782;	0.0448772953;	0.0427770187;	0.0269135492;	0.0599783132;	0.0119307786;	0.0232460289;	0.0606449937
0.6800000000;	0.0865932677;	0.0734990075;	0.5427037534;	0.0734962766;	0.0421484810;	0.0444608140;	0.0284077480;	0.0637985211;	0.0125300150;	0.0243721851;	0.0581358358
0.6900000000;	0.0853372995;	0.0713470956;	0.5583182759;	0.0713451483;	0.0403587909;	0.0427949632;	0.0271502155;	0.0603359555;	0.0119844767;	0.0233171894;	0.0556672978
0.7000000000;	0.0840164410;	0.0700098200;	0.5704405402;	0.0700086354;	0.0383321094;	0.0422834446;	0.0268656793;	0.0595510261;	0.0118450596;	0.0230364488;	0.0532390408
0.7100000000;	0.0826239008;	0.0678468034;	0.5855263640;	0.0678452972;	0.0366125488;	0.0407407537;	0.0257523047;	0.0566278181;	0.0113604605;	0.0220981036;	0.0508507622
0.7200000000;	0.0811598271;	0.0657488638;	0.5996272590;	0.0657453900;	0.0349215815;	0.0394680001;	0.0249289614;	0.0546252458;	0.0109921407;	0.0213786596;	0.0485021965
0.7300000000;	0.0796074347;	0.0651223025;	0.6079554163;	0.0651204255;	0.0327971121;	0.0401785613;	0.0257258833;	0.0569238517;	0.0113008276;	0.0219496343;	0.0461931156
0.7400000000;	0.0779857164;	0.0635203828;	0.6208798900;	0.0635177173;	0.0309659478;	0.0393882541;	0.0252239665;	0.0556014511;	0.0110709858;	0.0214963572;	0.0439233302
0.7500000000;	0.0762937993;	0.0607322042;	0.6364678280;	0.0607308143;	0.0296018101;	0.0374922155;	0.0239674803;	0.0528014971;	0.0105259259;	0.0204425931;	0.0416926903
0.7600000000;	0.0745168244;	0.0589013416;	0.6511333353;	0.0589012755;	0.0278482668;	0.0361725285;	0.0229745618;	0.0499668937;	0.0100903219;	0.0195969389;	0.0395010876
0.7700000000;	0.0726649330;	0.0594042009;	0.6576584432;	0.0594006625;	0.0253969510;	0.0378167952;	0.0243567116;	0.0529395736;	0.0106317437;	0.0206024424;	0.0373484573
0.7800000000;	0.0707123618;	0.0560819325;	0.6740384589;	0.0560802126;	0.0243119985;	0.0355102727;	0.0228526004;	0.0498815581;	0.0099879489;	0.0193638503;	0.0352347804
0.7900000000;	0.0686993312;	0.0531686486;	0.6902615226;	0.0531666836;	0.0230462605;	0.0333961767;	0.0213997829;	0.0465717570;	0.0093642067;	0.0181624843;	0.0331600870
0.8000000000;	0.0665848371;	0.0523469595;	0.6999480039;	0.0523447033;	0.0211646330;	0.0337628602;	0.0218832872;	0.0477072186;	0.0095331148;	0.0184597102;	0.0311244603
0.8100000000;	0.0644020514;	0.0510613962;	0.7092911961;	0.0510613962;	0.0195157875;	0.0340794581;	0.0225071860;	0.0496495059;	0.0097551064;	0.0188540986;	0.0291280410
0.8200000000;	0.0621142705;	0.0477555877;	0.7295243646;	0.0477526205;	0.0183404474;	0.0307371722;	0.0198169040;	0.0427223033;	0.0086317045;	0.0167129700;	0.0271710332
0.8300000000;	0.0597424631;	0.0469408559;	0.7394604530;	0.0469392286;	0.0165411810;	0.0310873700;	0.0202633246;	0.0435987777;	0.0087813208;	0.0169707772;	0.0252537115
0.8400000000;	0.0572749933;	0.0443854343;	0.7538222845;	0.0443837372;	0.0153115615;	0.0295993176;	0.0193638433;	0.0417922435;	0.0083848110;	0.0161992646;	0.0233764297
0.8500000000;	0.0547245334;	0.0428110621;	0.7664444415;	0.0428092508;	0.0137853644;	0.0289655573;	0.0190158937;	0.0407446952;	0.0082091404;	0.0158409879;	0.0215396319
0.8600000000;	0.0520584295;	0.0397534371;	0.7826945952;	0.0397518750;	0.0127347936;	0.0267687917;	0.0175381829;	0.0375518843;	0.0075761250;	0.0146234519;	0.0197438660
0.8700000000;	0.0493069842;	0.0364607038;	0.7986257037;	0.0364565908;	0.0117833200;	0.0245709702;	0.0161577058;	0.0349160304;	0.0069839860;	0.0134825883;	0.0179898015
0.8800000000;	0.0464459688;	0.0335958098;	0.8160041454;	0.0335919071;	0.0106622550;	0.0221382768;	0.0143321093;	0.0304022138;	0.0062100581;	0.0120000299;	0.0162782519
0.8900000000;	0.0434612919;	0.0324121132;	0.8259294129;	0.0324091373;	0.0092044291;	0.0224139527;	0.0148270792;	0.0316602765;	0.0063768586;	0.0122858283;	0.0146102049
0.9000000000;	0.0403717465;	0.0296157213;	0.8407996344;	0.0296125693;	0.0081817231;	0.0207034444;	0.0137846044;	0.0295868707;	0.0059201457;	0.0113991060;	0.0129868621
0.9100000000;	0.0371593394;	0.0274155639;	0.8549694319;	0.0274100860;	0.0070169618;	0.0194305579;	0.0129673742;	0.0276175003;	0.0055548478;	0.0106838421;	0.0114096939
0.9200000000;	0.0338109698;	0.0242208913;	0.8718448690;	0.0242208913;	0.0061259209;	0.0169957051;	0.0112837523;	0.0239350384;	0.0048384928;	0.0093111917;	0.0098805176
0.9300000000;	0.0303321804;	0.0218527381;	0.8857342613;	0.0218527381;	0.0050829744;	0.0157441438;	0.0105645496;	0.0224161682;	0.0045118225;	0.0086673842;	0.0084016105
0.9400000000;	0.0267007608;	0.0186056029;	0.9029010666;	0.0186030125;	0.0042552898;	0.0132021834;	0.0087820461;	0.0184938243;	0.0037570168;	0.0072227065;	0.0069758849
0.9500000000;	0.0229032922;	0.0160049935;	0.9172801458;	0.0160042259;	0.0033362662;	0.0117274148;	0.0079107498;	0.0167148210;	0.0033684920;	0.0064627652;	0.0056071701
0.9600000000;	0.0189358628;	0.0122211571;	0.9365837229;	0.0122211571;	0.0026664375;	0.0083484305;	0.0054293148;	0.0111967142;	0.0023338133;	0.0044957428;	0.0043007057
0.9700000000;	0.0147343127;	0.0098260535;	0.9505029089;	0.0098253372;	0.0017924985;	0.0070851048;	0.0047031838;	0.0096704033;	0.0020032795;	0.0038440974;	0.0030640999
0.9800000000;	0.0102795105;	0.0071369595;	0.9647823650;	0.0071369595;	0.0010311346;	0.0056396642;	0.0038981191;	0.0080825966;	0.0016380701;	0.0031236665;	0.0019095084
0.9900000000;	0.0054794240;	0.0036087929;	0.9823991618;	0.0036085204;	0.0004645121;	0.0028349629;	0.0019458256;	0.0039926061;	0.0008180475;	0.0015599454;	0.0008602075
