0,5.252978700000000e+05
2,5.214390000000000e+05
4,5.175693600000000e+05
6,5.136907600000000e+05
8,5.098088900000000e+05
10,5.059338400000000e+05
12,5.020645400000000e+05
14,4.981967600000000e+05
16,4.943343700000000e+05
18,4.904740400000000e+05
20,4.866123000000000e+05
22,4.827562400000000e+05
24,4.789012900000000e+05
26,4.750481100000000e+05
28,4.711970600000000e+05
30,4.673655300000000e+05
32,4.635409100000000e+05
34,4.597276700000000e+05
36,4.559135100000000e+05
38,4.521014400000000e+05
40,4.482900300000000e+05
42,4.445030900000000e+05
44,4.407173400000000e+05
46,4.369357400000000e+05
48,4.331694800000000e+05
50,4.294001000000000e+05
52,4.256416600000000e+05
54,4.218984000000000e+05
56,4.181675900000000e+05
58,4.144558000000000e+05
60,4.107543000000000e+05
62,4.070493700000000e+05
64,4.033652900000000e+05
66,3.996883500000000e+05
68,3.960146400000000e+05
70,3.923597700000000e+05
72,3.887153900000000e+05
74,3.850842700000000e+05
76,3.814734600000000e+05
78,3.778643500000000e+05
80,3.742713400000000e+05
82,3.706880100000000e+05
84,3.671375200000000e+05
86,3.635968300000000e+05
88,3.600711400000000e+05
90,3.565627000000000e+05
92,3.530714500000000e+05
94,3.495791300000000e+05
96,3.461099800000000e+05
98,3.426614700000000e+05
100,3.392248500000000e+05
102,3.358131100000000e+05
104,3.324211100000000e+05
106,3.290386400000000e+05
108,3.256689200000000e+05
110,3.223230300000000e+05
112,3.189989900000000e+05
114,3.156821300000000e+05
116,3.123929500000000e+05
118,3.091126300000000e+05
120,3.058562300000000e+05
122,3.026116200000000e+05
124,2.993968900000000e+05
126,2.961924000000000e+05
128,2.930065400000000e+05
130,2.898604600000000e+05
132,2.867286700000000e+05
134,2.836015900000000e+05
136,2.804903300000000e+05
138,2.774155100000000e+05
140,2.743486600000000e+05
142,2.713186900000000e+05
144,2.682928700000000e+05
146,2.652936100000000e+05
148,2.623059200000000e+05
150,2.593507700000000e+05
152,2.564164200000000e+05
154,2.535054200000000e+05
156,2.506107200000000e+05
158,2.477351200000000e+05
160,2.448818200000000e+05
162,2.420651400000000e+05
164,2.392617100000000e+05
166,2.364756000000000e+05
168,2.337161900000000e+05
170,2.309744200000000e+05
172,2.282572000000000e+05
174,2.255736000000000e+05
176,2.229085800000000e+05
178,2.202673000000000e+05
180,2.176326500000000e+05
182,2.150358500000000e+05
184,2.124510000000000e+05
186,2.098998200000000e+05
188,2.073577200000000e+05
190,2.048363200000000e+05
192,2.023407400000000e+05
194,1.998685500000000e+05
196,1.974236600000000e+05
198,1.950054800000000e+05
200,1.926029300000000e+05
202,1.902235700000000e+05
204,1.878684300000000e+05
206,1.855367500000000e+05
208,1.832265200000000e+05
210,1.809359300000000e+05
212,1.786698900000000e+05
214,1.764259700000000e+05
216,1.742063700000000e+05
218,1.719999100000000e+05
220,1.698181200000000e+05
222,1.676605700000000e+05
224,1.655222700000000e+05
226,1.634112400000000e+05
228,1.613191800000000e+05
230,1.592468500000000e+05
232,1.571916900000000e+05
234,1.551586700000000e+05
236,1.531464400000000e+05
238,1.511547100000000e+05
240,1.491845200000000e+05
242,1.472395400000000e+05
244,1.453224200000000e+05
246,1.434244600000000e+05
248,1.415514100000000e+05
250,1.396891800000000e+05
252,1.378529400000000e+05
254,1.360401900000000e+05
256,1.342437100000000e+05
258,1.324680100000000e+05
260,1.307153500000000e+05
262,1.289800400000000e+05
264,1.272626500000000e+05
266,1.255672000000000e+05
268,1.238893300000000e+05
270,1.222392600000000e+05
272,1.206073100000000e+05
274,1.189971700000000e+05
276,1.173916300000000e+05
278,1.158135800000000e+05
280,1.142538700000000e+05
282,1.127255100000000e+05
284,1.112057300000000e+05
286,1.097005500000000e+05
288,1.082193600000000e+05
290,1.067496300000000e+05
292,1.053016100000000e+05
294,1.038714300000000e+05
296,1.024600800000000e+05
298,1.010676300000000e+05
300,9.968494000000000e+04
302,9.832127000000000e+04
304,9.697968000000000e+04
306,9.565409000000000e+04
308,9.434405000000000e+04
310,9.305396000000000e+04
312,9.178293000000000e+04
314,9.052170000000000e+04
316,8.927843000000000e+04
318,8.804783000000000e+04
320,8.683553000000000e+04
322,8.565126000000000e+04
324,8.447524000000000e+04
326,8.331920000000000e+04
328,8.217732000000000e+04
330,8.104722000000000e+04
332,7.994008000000000e+04
334,7.884327000000000e+04
336,7.775628000000000e+04
338,7.668146000000000e+04
340,7.562448000000000e+04
342,7.458547000000000e+04
344,7.356281000000000e+04
346,7.254765000000000e+04
348,7.155305000000000e+04
350,7.056568000000000e+04
352,6.959266000000000e+04
354,6.863375000000000e+04
356,6.769406000000000e+04
358,6.676640000000000e+04
360,6.585119000000000e+04
362,6.494338000000000e+04
364,6.405809000000000e+04
366,6.317856000000000e+04
368,6.231188000000000e+04
370,6.146144000000000e+04
372,6.061909000000000e+04
374,5.978847000000000e+04
376,5.897078000000000e+04
378,5.816400000000000e+04
380,5.736838000000000e+04
382,5.658876000000000e+04
384,5.581778000000000e+04
386,5.505727000000000e+04
388,5.431093000000000e+04
390,5.357090000000000e+04
392,5.284619000000000e+04
394,5.212844000000000e+04
396,5.142026000000000e+04
398,5.072294000000000e+04
400,5.003901000000000e+04
402,4.936669000000000e+04
404,4.870693000000000e+04
406,4.805490000000000e+04
408,4.740798000000000e+04
410,4.677431000000000e+04
412,4.615307000000000e+04
414,4.553679000000000e+04
416,4.492866000000000e+04
418,4.432959000000000e+04
420,4.374115000000000e+04
422,4.316143000000000e+04
424,4.258646000000000e+04
426,4.202406000000000e+04
428,4.146726000000000e+04
